	Assay	Cell Type	Molecule
288	CHIP	C57BL/6 spleen male adult (8 weeks)	H3K4me1
289	CHIP	C57BL/6 ES-Bruce4	H3K4me1
290	CHIP	C57BL/6 ES-Bruce4	H3K4me3
291	CHIP	C57BL/6 heart male adult (8 weeks)	CTCF
292	CHIP	C57BL/6 kidney male adult (8 weeks)	CTCF
293	CHIP	C57BL/6 kidney male adult (8 weeks)	POLR2A
294	CHIP	C57BL/6 bone marrow male adult (8 weeks)	CTCF
295	CHIP	C57BL/6 bone marrow male adult (8 weeks)	POLR2A
296	CHIP	C57BL/6 cerebellum male adult (8 weeks)	CTCF
297	CHIP	C57BL/6 cerebellum male adult (8 weeks)	POLR2A
298	CHIP	C57BL/6 heart male adult (8 weeks)	POLR2A
299	CHIP	C57BL/6 liver male adult (8 weeks)	CTCF
300	CHIP	C57BL/6 lung male adult (8 weeks)	CTCF
301	CHIP	C57BL/6 embryonic fibroblast male embryo (13.5 weeks)	CTCF
302	CHIP	C57BL/6 embryonic fibroblast male embryo (13.5 weeks)	POLR2A
303	CHIP	C57BL/6 spleen male adult (8 weeks)	POLR2A
304	CHIP	C57BL/6 heart male adult (8 weeks)	EP300
305	CHIP	C57BL/6 ES-Bruce4	CTCF
306	CHIP	C57BL/6 ES-Bruce4	POLR2A
307	CHIP	C57BL/6 ES-Bruce4	EP300
308	CHIP	C57BL/6 olfactory bulb male adult (8 weeks)	H3K27ac
309	CHIP	C57BL/6 olfactory bulb male adult (8 weeks)	H3K4me1
310	CHIP	C57BL/6 thymus male adult (8 weeks)	H3K27ac
311	CHIP	C57BL/6 thymus male adult (8 weeks)	H3K4me1
312	CHIP	C57BL/6 thymus male adult (8 weeks)	H3K4me3
313	CHIP	C57BL/6 bone marrow male adult (8 weeks)	H3K27ac
314	CHIP	C57BL/6 small intestine male adult (8 weeks)	H3K27ac
315	CHIP	C57BL/6 small intestine male adult (8 weeks)	H3K4me1
316	CHIP	C57BL/6 small intestine male adult (8 weeks)	H3K4me3
317	CHIP	C57BL/6 testis male adult (8 weeks)	H3K27ac
318	CHIP	C57BL/6 testis male adult (8 weeks)	H3K4me1
319	CHIP	C57BL/6 testis male adult (8 weeks)	H3K4me3
320	CHIP	C57BL/6 cerebellum male adult (8 weeks)	H3K27ac
321	CHIP	C57BL/6 cortical plate male adult (8 weeks)	H3K27ac
322	CHIP	C57BL/6 ES-Bruce4	H3K27ac
323	CHIP	C57BL/6 heart male adult (8 weeks)	H3K27ac
324	CHIP	C57BL/6 kidney male adult (8 weeks)	H3K27ac
325	CHIP	C57BL/6 liver male adult (8 weeks)	H3K27ac
326	CHIP	C57BL/6 embryonic fibroblast male embryo (13.5 weeks)	H3K27ac
327	CHIP	C57BL/6 spleen male adult (8 weeks)	H3K27ac
328	CHIP	C57BL/6 heart embryo (14.5 days)	H3K27ac
329	CHIP	C57BL/6 heart embryo (14.5 days)	H3K4me1
330	CHIP	C57BL/6 heart embryo (14.5 days)	H3K4me3
331	CHIP	C57BL/6 placenta female adult (8 weeks)	H3K27ac
332	CHIP	C57BL/6 placenta female adult (8 weeks)	H3K4me1
333	CHIP	C57BL/6 placenta female adult (8 weeks)	H3K4me3
334	CHIP	C57BL/6 olfactory bulb male adult (8 weeks)	H3K4me3
335	CHIP	C57BL/6 liver embryo (14.5 days)	H3K27ac
336	CHIP	C57BL/6 liver embryo (14.5 days)	H3K4me3
337	CHIP	C57BL/6 liver embryo (14.5 days)	H3K4me1
338	CHIP	C57BL/6 olfactory bulb male adult (8 weeks)	POLR2A
339	CHIP	C57BL/6 small intestine male adult (8 weeks)	POLR2A
340	CHIP	C57BL/6 testis male adult (8 weeks)	CTCF
341	CHIP	C57BL/6 testis male adult (8 weeks)	POLR2A
342	CHIP	C57BL/6 heart male adult (8 weeks)	H3K27me3
343	CHIP	C57BL/6 heart male adult (8 weeks)	H3K36me3
344	CHIP	C57BL/6 heart male adult (8 weeks)	H3K79me2
345	CHIP	C57BL/6 heart male adult (8 weeks)	H3K9ac
346	CHIP	C57BL/6 liver male adult (8 weeks)	H3K27me3
347	CHIP	C57BL/6 liver male adult (8 weeks)	H3K36me3
348	CHIP	C57BL/6 liver male adult (8 weeks)	H3K79me2
349	CHIP	C57BL/6 liver male adult (8 weeks)	H3K9ac
350	CHIP	DBA/2 MEL cell line	H3K27me3
351	CHIP	DBA/2 MEL cell line	H3K36me3
352	CHIP	DBA/2 MEL cell line	H3K79me2
353	CHIP	DBA/2 MEL cell line	H3K9ac
354	CHIP	DBA/2 MEL cell line	H3K27ac
355	CHIP	DBA/2 MEL cell line	H3K4me1
356	CHIP	DBA/2 MEL cell line	H3K4me3
357	CHIP	C57BL/6 brown adipose tissue male adult (24 weeks)	H3K27ac
358	CHIP	C57BL/6 brown adipose tissue male adult (24 weeks)	H3K4me1
359	CHIP	C57BL/6 brown adipose tissue male adult (24 weeks)	H3K4me3
360	CHIP	C57BL/6 bone marrow macrophage male adult (8 weeks)	H3K27ac
361	CHIP	C57BL/6 bone marrow macrophage male adult (8 weeks)	H3K4me1
362	CHIP	C57BL/6 bone marrow macrophage male adult (8 weeks)	H3K4me3
363	CHIP	DBA/2 MEL cell line	CTCF
364	CHIP	DBA/2 MEL cell line	POLR2A
365	CHIP	C57BL/6 bone marrow macrophage male adult (8 weeks)	CTCF
366	CHIP	C57BL/6 bone marrow macrophage male adult (8 weeks)	POLR2A
367	CHIP	B10.H-2aH-4bp/Wts CH12.LX	H3K36me3
368	CHIP	C57BL/6 cerebellum male adult (8 weeks)	H3K27me3
369	CHIP	C57BL/6 ES-Bruce4	H3K27me3
370	CHIP	C57BL/6 ES-Bruce4	H3K36me3
371	CHIP	C57BL/6 kidney male adult (8 weeks)	H3K27me3
372	CHIP	C57BL/6 kidney male adult (8 weeks)	H3K36me3
373	CHIP	C57BL/6 small intestine male adult (8 weeks)	H3K27me3
374	CHIP	C57BL/6 small intestine male adult (8 weeks)	H3K36me3
375	CHIP	C57BL/6 spleen male adult (8 weeks)	H3K36me3
376	CHIP	C57BL/6 testis male adult (8 weeks)	H3K36me3
377	CHIP	C57BL/6 thymus male adult (8 weeks)	H3K36me3
378	CHIP	C57BL/6 splenic B cell male adult (8 weeks)	H3K27me3
379	CHIP	C57BL/6 splenic B cell male adult (8 weeks)	H3K36me3
380	CHIP	C57BL/6 ES-Bruce4	H3K9me3
381	CHIP	C57BL/6 spleen male adult (8 weeks)	H3K27me3
382	CHIP	C57BL/6 testis male adult (8 weeks)	H3K27me3
383	CHIP	C57BL/6 thymus male adult (8 weeks)	H3K27me3
384	CHIP	B10.H-2aH-4bp/Wts CH12.LX	H3K4me1
385	CHIP	B10.H-2aH-4bp/Wts CH12.LX	H3K4me2
386	CHIP	B10.H-2aH-4bp/Wts CH12.LX	H3K27ac
387	CHIP	B10.H-2aH-4bp/Wts CH12.LX	H3K4me3
388	CHIP	B10.H-2aH-4bp/Wts CH12.LX	H3K9ac
